row_type,operation_id,name,category,route,service,permission,audited,action,entity_type,in_transaction,reason_in_audit,tested,test_evidence,notes
critical_operation,AUD-OP-EMP-CREATE,"Create employee",identity_access,"POST /api/dashboard/employees",DashboardEmployeeService::create,manage_employees,YES,employee.created,user,NO,NO,YES,EmployeeManagementTest::test_super_admin_can_create_employee,"Audit after create; outside DB::transaction"
critical_operation,AUD-OP-EMP-UPDATE,"Update employee",identity_access,"PUT /api/dashboard/employees/{user}",DashboardEmployeeService::update,manage_employees,YES,employee.updated,user,NO,NO,YES,EmployeeManagementTest::test_super_admin_can_update_employee,
critical_operation,AUD-OP-EMP-ACTIVATE,"Activate employee",identity_access,"PATCH /api/dashboard/employees/{user}/activate",DashboardEmployeeService::setActive,manage_employees,YES,employee.activated,user,YES,NO,YES,EmployeeManagementTest::test_activate_deactivate_write_audit_logs,
critical_operation,AUD-OP-EMP-DEACTIVATE,"Deactivate employee",identity_access,"PATCH /api/dashboard/employees/{user}/deactivate",DashboardEmployeeService::setActive,manage_employees,YES,employee.deactivated,user,YES,NO,YES,EmployeeManagementTest::test_activate_deactivate_write_audit_logs,
critical_operation,AUD-OP-EMP-ROLE-CHANGE,"Change employee role binding",identity_access,"POST /api/dashboard/employees/{user}/assign-role ; PATCH .../employees/{employee}/roles","DashboardEmployeeService::assignRole ; DashboardAccessControlService::syncEmployeeRole","manage_employees or super_admin",YES,"employee.role_assigned | employee.roles_updated",user,PARTIAL,PARTIAL,YES,"DashboardEmployeeAccessTest (employee.roles_updated assertDatabaseHas)","Grouped assign-role + sync roles"
critical_operation,AUD-OP-EMP-DIRECT-PERMS,"Sync employee direct permissions",identity_access,"PATCH /api/dashboard/employees/{employee}/direct-permissions",DashboardAccessControlService::syncDirectPermissions,super_admin,YES,employee.direct_permissions_updated,user,YES,YES,YES,"DashboardEmployeeAccessTest (employee.direct_permissions_updated assertDatabaseHas)",
critical_operation,AUD-OP-ROLE-CREATE,"Create access role",identity_access,"POST /api/dashboard/access-control/roles",DashboardAccessControlService::createRole,super_admin,YES,access_role.created,role,YES,NO,YES,"DashboardRoleManagementTest (access_role.created)",
critical_operation,AUD-OP-ROLE-UPDATE,"Update access role",identity_access,"PATCH /api/dashboard/access-control/roles/{role}",DashboardAccessControlService::updateRole,super_admin,YES,access_role.updated,role,YES,NO,YES,"DashboardRoleManagementTest (access_role.updated)",
critical_operation,AUD-OP-ROLE-SYNC-PERMS,"Sync role permissions",identity_access,"PATCH /api/dashboard/access-control/roles/{role}/permissions",DashboardAccessControlService::syncRolePermissions,super_admin,YES,access_role.permissions_updated,role,YES,YES,YES,DashboardRoleManagementTest::test_sync_role_permissions_updates_and_requires_reason,
critical_operation,AUD-OP-ROLE-ARCHIVE,"Archive access role",identity_access,"PATCH /api/dashboard/access-control/roles/{role}/archive",DashboardAccessControlService::archiveRole,super_admin,YES,access_role.archived,role,YES,YES,YES,"DashboardRoleManagementTest (access_role.archived)",
