row_type,file_or_group,method,category,module,metric,value,notes
translation_file_parity,messages,,,,parity_pct,69.69,AR=828 EN=577 shared=577 AR-only=251 EN-only=0
ar_only_key,messages,,,,key,messages.access_control.archived_role_cannot_be_assigned,Missing in EN
ar_only_key,messages,,,,key,messages.access_control.audit_actions.access_role.archived,Missing in EN
ar_only_key,messages,,,,key,messages.access_control.audit_actions.access_role.created,Missing in EN
ar_only_key,messages,,,,key,messages.access_control.audit_actions.access_role.permissions_updated,Missing in EN
ar_only_key,messages,,,,key,messages.access_control.audit_actions.access_role.restored,Missing in EN
ar_only_key,messages,,,,key,messages.access_control.audit_actions.access_role.updated,Missing in EN
ar_only_key,messages,,,,key,messages.access_control.audit_actions.document_reviewer.permissions_repaired,Missing in EN
ar_only_key,messages,,,,key,messages.access_control.audit_actions.employee.activated,Missing in EN
ar_only_key,messages,,,,key,messages.access_control.audit_actions.employee.created,Missing in EN
ar_only_key,messages,,,,key,messages.access_control.audit_actions.employee.deactivated,Missing in EN
ar_only_key,messages,,,,key,messages.access_control.audit_actions.employee.direct_permissions_updated,Missing in EN
ar_only_key,messages,,,,key,messages.access_control.audit_actions.employee.role_assigned,Missing in EN
ar_only_key,messages,,,,key,messages.access_control.audit_actions.employee.roles_updated,Missing in EN
ar_only_key,messages,,,,key,messages.access_control.audit_actions.employee.updated,Missing in EN
ar_only_key,messages,,,,key,messages.access_control.audit_logs_retrieved,Missing in EN
ar_only_key,messages,,,,key,messages.access_control.cannot_archive_role_with_employees,Missing in EN
ar_only_key,messages,,,,key,messages.access_control.cannot_archive_system_role,Missing in EN
ar_only_key,messages,,,,key,messages.access_control.cannot_assign_direct_permissions_to_super_admin,Missing in EN
ar_only_key,messages,,,,key,messages.access_control.cannot_remove_last_super_admin,Missing in EN
ar_only_key,messages,,,,key,messages.access_control.cannot_update_archived_role,Missing in EN
ar_only_key,messages,,,,key,messages.access_control.employee_access_retrieved,Missing in EN
ar_only_key,messages,,,,key,messages.access_control.employee_direct_permissions_updated,Missing in EN
ar_only_key,messages,,,,key,messages.access_control.employee_role_updated,Missing in EN
ar_only_key,messages,,,,key,messages.access_control.invalid_permission,Missing in EN
ar_only_key,messages,,,,key,messages.access_control.invalid_role_assignment,Missing in EN
ar_only_key,messages,,,,key,messages.access_control.invalid_role_name,Missing in EN
ar_only_key,messages,,,,key,messages.access_control.not_dashboard_employee,Missing in EN
ar_only_key,messages,,,,key,messages.access_control.overview_retrieved,Missing in EN
ar_only_key,messages,,,,key,messages.access_control.password_confirmation_failed,Missing in EN
ar_only_key,messages,,,,key,messages.access_control.permission_not_assignable,Missing in EN
ar_only_key,messages,,,,key,messages.access_control.permissions_retrieved,Missing in EN
ar_only_key,messages,,,,key,messages.access_control.protected_permission,Missing in EN
ar_only_key,messages,,,,key,messages.access_control.protected_role_immutable,Missing in EN
ar_only_key,messages,,,,key,messages.access_control.protected_role_permissions_immutable,Missing in EN
ar_only_key,messages,,,,key,messages.access_control.reason_required,Missing in EN
ar_only_key,messages,,,,key,messages.access_control.role_archived,Missing in EN
ar_only_key,messages,,,,key,messages.access_control.role_created,Missing in EN
ar_only_key,messages,,,,key,messages.access_control.role_employees_retrieved,Missing in EN
ar_only_key,messages,,,,key,messages.access_control.role_name_reserved_or_taken,Missing in EN
ar_only_key,messages,,,,key,messages.access_control.role_not_archived,Missing in EN
ar_only_key,messages,,,,key,messages.access_control.role_not_assignable,Missing in EN
ar_only_key,messages,,,,key,messages.access_control.role_options_retrieved,Missing in EN
ar_only_key,messages,,,,key,messages.access_control.role_permissions_updated,Missing in EN
ar_only_key,messages,,,,key,messages.access_control.role_restored,Missing in EN
ar_only_key,messages,,,,key,messages.access_control.role_retrieved,Missing in EN
ar_only_key,messages,,,,key,messages.access_control.role_updated,Missing in EN
ar_only_key,messages,,,,key,messages.access_control.roles_retrieved,Missing in EN
ar_only_key,messages,,,,key,messages.access_control.stale_version,Missing in EN
ar_only_key,messages,,,,key,messages.access_control.super_admin_required,Missing in EN
ar_only_key,messages,,,,key,messages.access_control.unregistered_permission,Missing in EN
ar_only_key,messages,,,,key,messages.ai_agent.action_cancelled,Missing in EN
ar_only_key,messages,,,,key,messages.ai_agent.action_executed,Missing in EN
ar_only_key,messages,,,,key,messages.ai_agent.action_not_found,Missing in EN
ar_only_key,messages,,,,key,messages.ai_agent.admin_denied,Missing in EN
ar_only_key,messages,,,,key,messages.ai_agent.already_cancelled,Missing in EN
ar_only_key,messages,,,,key,messages.ai_agent.already_executed,Missing in EN
ar_only_key,messages,,,,key,messages.ai_agent.already_processing,Missing in EN
ar_only_key,messages,,,,key,messages.ai_agent.application_id_arg_required,Missing in EN
ar_only_key,messages,,,,key,messages.ai_agent.application_id_required,Missing in EN
ar_only_key,messages,,,,key,messages.ai_agent.application_next_step.administrative_review,Missing in EN
ar_only_key,messages,,,,key,messages.ai_agent.application_next_step.appointment_pending,Missing in EN
ar_only_key,messages,,,,key,messages.ai_agent.application_next_step.approved,Missing in EN
ar_only_key,messages,,,,key,messages.ai_agent.application_next_step.cancelled,Missing in EN
ar_only_key,messages,,,,key,messages.ai_agent.application_next_step.documents_rejected,Missing in EN
ar_only_key,messages,,,,key,messages.ai_agent.application_next_step.documents_under_review,Missing in EN
ar_only_key,messages,,,,key,messages.ai_agent.application_next_step.draft,Missing in EN
