row_type,metric_id,file,method,domain,operation,classification,stimulus,outcome,http_status,side_effect,expected_max,notes
summary,REL-IDEMPOTENCY-METHODS,,,,,distinct_method_count,,36,,,,Distinct methods tagged with this metric_id
summary,REL-DUPLICATE-SIDE-EFFECT-METHODS,,,,,distinct_method_count,,31,,,,Distinct methods tagged with this metric_id
summary,REL-ROLLBACK-METHODS,,,,,distinct_method_count,,1,,,,Distinct methods tagged with this metric_id
summary,REL-ATOMICITY-METHODS,,,,,distinct_method_count,,5,,,,Distinct methods tagged with this metric_id
summary,REL-AFTERCOMMIT-SAFETY-METHODS,,,,,distinct_method_count,,2,,,,Distinct methods tagged with this metric_id
summary,REL-STALE-STATE-REJECTION-METHODS,,,,,distinct_method_count,,22,,,,Distinct methods tagged with this metric_id
summary,CONC-OPTIMISTIC-CONFLICT-METHODS,,,,,distinct_method_count,,3,,,,Distinct methods tagged with this metric_id
summary,CONC-APPOINTMENT-METHODS,,,,,distinct_method_count,,9,,,,Distinct methods tagged with this metric_id
summary,PAY-IDEMPOTENCY-METHODS,,,,,distinct_method_count,,9,,,,Distinct methods tagged with this metric_id
summary,PAY-UNIQUENESS-METHODS,,,,,distinct_method_count,,2,,,,Distinct methods tagged with this metric_id
summary,PAY-CONCURRENCY-INTEGRITY-METHODS,,,,,distinct_method_count,,2,,,,Distinct methods tagged with this metric_id
summary,PAY-WEBHOOK-IDEMPOTENCY-METHODS,,,,,distinct_method_count,,1,,,,Distinct methods tagged with this metric_id
summary,PAY-MONEY-PRECISION-METHODS,,,,,distinct_method_count,,6,,,,Distinct methods tagged with this metric_id
summary,LIC-ISSUANCE-INTEGRITY-METHODS,,,,,distinct_method_count,,9,,,,Distinct methods tagged with this metric_id
summary,LIC-DUPLICATE-PREVENTION-METHODS,,,,,distinct_method_count,,6,,,,Distinct methods tagged with this metric_id
summary,LIC-STALE-REVALIDATION-METHODS,,,,,distinct_method_count,,1,,,,Distinct methods tagged with this metric_id
summary,NOTIF-IDEMPOTENCY-METHODS,,,,,distinct_method_count,,8,,,,Distinct methods tagged with this metric_id
summary,NOTIF-TX-SAFETY-METHODS,,,,,distinct_method_count,,3,,,,Distinct methods tagged with this metric_id
summary,PUSH-RETRY-METHODS,,,,,distinct_method_count,,9,,,,Distinct methods tagged with this metric_id
summary,PUSH-TERMINAL-NO-RESEND-METHODS,,,,,distinct_method_count,,9,,,,Distinct methods tagged with this metric_id
summary,PUSH-RECOVERY-METHODS,,,,,distinct_method_count,,9,,,,Distinct methods tagged with this metric_id
summary,REL-SESSION-LIFECYCLE-METHODS,,,,,distinct_method_count,,6,,,,Distinct methods tagged with this metric_id
summary,AI-RELIABILITY-METHODS,,,,,distinct_method_count,,9,,,,Distinct methods tagged with this metric_id
summary,AI-STALE-GUARD-METHODS,,,,,distinct_method_count,,9,,,,Distinct methods tagged with this metric_id
summary,AI-CANCEL-NO-MUTATION-METHODS,,,,,distinct_method_count,,4,,,,Distinct methods tagged with this metric_id
summary,REL-RECOVERY-METHODS,,,,,distinct_method_count,,6,,,,Distinct methods tagged with this metric_id
summary,CONC-LOCK-CALLS,,,app,lockForUpdate,implementation_metric_not_outcome,,56,,,,"18 files; IMPLEMENTATION METRIC, NOT OUTCOME METRIC"
summary,IMPL-LOCKFORUPDATE,,,app,lockForUpdate,impl_count_alias,,56,,,,Alias of CONC-LOCK-CALLS; 18 files
summary,IMPL-DB-TRANSACTION,,,app,DB::transaction(,impl_count,,68,,,,28 files
